"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"10","186.86819174556635","241.69697309961748","0.0244140625","0.02587890625","0.02294921875","1560","0.00020860695196906246","32","0.00020860695196906246","0","0.00020860695196906246","0.00020860695196906246","9:0.003254955351770228;11:0.003224727775681807","9:68;11:68","9:0.006449486062866994;11:0.003237938262676543","Yes"
"11","127.58723793484337","147.09066384070368","0.007568359375","0.009765625","0.00537109375","1560","0.00017020042118390003","32","0.00017020042118390003","0","0.00017020042118390003","0.00017020042118390003","10:0.003224727775681807;12:0.0028847413675363864","10:68;12:68","10:0.003237938262676543;12:0.0037132926699895707","Yes"
"12","331.6461130332952","375.32890527943346","0.017333984375","0.0166015625","0.01806640625","1560","0.0001979432541907496","32","0.0001979432541907496","0","0.0001979432541907496","0.0001979432541907496","18:0.002210882322915636;13:0.002170836802803444;11:0.0028847413675363864","18:68;13:68;11:68","18:0.007712569554028659;13:0.003988409532928672;11:0.0037132926699895707","Yes"
"13","209.8667338684554","201.43611058689203","0.01025390625","0.00244140625","0.01806640625","1560","0.000241062767258361","32","0.000241062767258361","0","0.000241062767258361","0.000241062767258361","12:0.002170836802803444;14:0.002329141495793302","12:68;14:68","12:0.003988409532928672;14:0.0030173605124961256","Yes"
"14","246.78361610779325","91.82460120906593","0.016357421875","0.0078125","0.02490234375","1560","0.0001648469982651823","32","0.0001648469982651823","0","0.0001648469982651823","0.0001648469982651823","13:0.002329141495793302","13:68","13:0.0030173605124961256","Yes"
"15","198.13639479355342","40.232083579146824","0.01953125","0.0361328125","0.0029296875","1560","0.0007425300727912669","32","0.0007425300727912669","0","0.0007425300727912669","0.0007425300727912669","0:0.007487752107944445;19:0.0031311188550655344","0:68;19:80","0:0.004391845370685876;19:0.004162882767321796","Yes"
"16","181.87453302837542","162.13970239344823","0.0205078125","0.0234375","0.017578125","1560","0.0001802722570429968","32","0.0001802722570429968","0","0.0001802722570429968","0.0001802722570429968","23:0.0036187449573741592;4:0.00260351365229608","23:184;4:80","23:0.004616930664378682;4:0.0033078512458962206","Yes"
"17","122.36098841423514","88.16170091104725","0.0068359375","0.009765625","0.00390625","1560","0.0005274392005377599","32","0.0005274392005377599","0","0.0005274392005377599","0.0005274392005377599","27:0.0030925616044016058;8:0.002472404947811341","27:160;8:108","27:0.004143999537869841;8:0.005489921757242194","Yes"
"18","207.38976361228376","204.79643909220752","0.005126953125","0.0068359375","0.00341796875","1560","0.00022712786837558363","32","0.00022712786837558363","0","0.00022712786837558363","0.00022712786837558363","12:0.002210882322915636;31:0.01454756043549274","12:68;31:68","12:0.007712569554028659;31:0.010998541147771296","Yes"
"19","189.32936171953716","81.8396454911424","0.028564453125","0.03564453125","0.021484375","1560","0.0006326484637208511","32","0.0006326484637208511","0","0.0006326484637208511","0.0006326484637208511","20:0.005110741315201978;15:0.0031311188550655344","20:108;15:80","20:0.005979218884429621;15:0.004162882767321796","Yes"
"20","273.08075391051517","152.7845594662472","0.013671875","0.01953125","0.0078125","1560","0.0003365122145570912","32","0.0003365122145570912","0","0.0003365122145570912","0.0003365122145570912","19:0.005110741315201978;21:0.012790140499682828","19:108;21:68","19:0.005979218884429621","Yes"
"21","36.30753199161916","23.3415504672804","0.054443359375","0.07421875","0.03466796875","1560","0.0008520534464724419","32","0.0008520534464724419","0","0.0008520534464724419","0.0008520534464724419","34:0.030618560113988585;20:0.012790140499682828;22:0.00897029156533194","34:68;20:68;22:68","22:0.003501046726998691","Yes"
"22","90.3010198944845","91.57325252087","0.0283203125","0.0419921875","0.0146484375","1560","0.00031253738563712693","32","0.00031253738563712693","0","0.00031253738563712693","0.00031253738563712693","23:0.0034069121487355913;21:0.00897029156533194","23:68;21:68","23:0.004455001672126119;21:0.003501046726998691","Yes"
"23","181.3789517934077","171.40804590930696","0.051025390625","0.0546875","0.04736328125","1560","0.00018704326721478238","32","0.00018704326721478238","0","0.00018704326721478238","0.00018704326721478238","22:0.0034069121487355913;24:0.004135393737315446;16:0.0036187449573741592","22:68;24:68;16:184","22:0.004455001672126119;24:0.009923229296561031;16:0.004616930664378682","Yes"
"24","116.79685478604311","133.33006613392592","0.02490234375","0.01513671875","0.03466796875","1560","0.0002631885639750641","32","0.0002631885639750641","0","0.0002631885639750641","0.0002631885639750641","23:0.004135393737315446;25:0.0045807635145317105","23:68;25:68","23:0.009923229296561031;25:0.008868581732974945","Yes"
"25","80.47639326198556","107.45565775671318","0.081298828125","0.08740234375","0.0751953125","1560","0.00037978838756719545","32","0.00037978838756719545","0","0.00037978838756719545","0.00037978838756719545","24:0.0045807635145317105;26:0.002201151755154923;35:0.0043448104919725505","24:68;26:68;35:108","24:0.008868581732974945;26:0.005853151850836735;35:0.005136067556184565","Yes"
"26","246.45296094709906","178.08075613675462","0.035888671875","0.033203125","0.03857421875","1560","0.0003265271363563601","32","0.0003265271363563601","0","0.0003265271363563601","0.0003265271363563601","25:0.002201151755154923;27:0.002893208147444981","25:68;27:68","25:0.005853151850836735;27:0.0025516453225561953","Yes"
"27","83.91304631206427","110.23609673426385","0.025146484375","0.02294921875","0.02734375","1560","0.00029881616616651526","32","0.00029881616616651526","0","0.00029881616616651526","0.00029881616616651526","26:0.002893208147444981;28:0.005361431913757958;17:0.0030925616044016058","26:68;28:80;17:160","26:0.0025516453225561953;28:0.005263734214381893;17:0.004143999537869841","Yes"
"28","159.89930345844516","89.73921023392174","0.057861328125","0.10498046875","0.0107421875","1560","0.0018170747965766025","32","0.0018170747965766025","0","0.0018170747965766025","0.0018170747965766025","27:0.005361431913757958;29:0.0036696745663972463","27:80;29:116","27:0.005263734214381893;29:0.00714988794112531","Yes"
